"2018-01-01",1,"TRL","KVH",1,-6,3
"2018-01-01",1,"KVT","KVLA",0,-11,1
"2018-01-01",1,"KUV","KVT",0,-31,1
"2018-01-01",1,"V644","KVT",0,-10,1
"2018-01-01",1,"HVK","KVY",3,0,2
"2018-01-01",1,"RKL","KVY",2,0,3
"2018-01-01",1,"AIN","KYT",0,-1,1
"2018-01-01",1,"KE","KYT",2,0,1
"2018-01-01",1,"OLK","KÄP",8,-3,5
"2018-01-01",1,"PSL","KÄP",3,0,3
"2018-01-01",1,"YLÖ","LAK",0,-43,1
"2018-01-01",1,"SUO","LAU",8,0,1
"2018-01-01",1,"MRL","LAV",7,0,2
"2018-01-01",1,"VKS","LAV",6,0,2
"2018-01-01",1,"LNÄ","LEN",8,0,2
"2018-01-01",1,"VMS","LEN",10,0,2
"2018-01-01",1,"VLH","LH",0,-13,1
"2018-01-01",1,"KEM","LI",0,0,1
"2018-01-01",1,"LI","LLA",0,0,1
"2018-01-01",1,"TPE","LLH",0,-22,1
"2018-01-01",1,"ASO","LNÄ",8,0,2
"2018-01-01",1,"LEN","LNÄ",8,0,2
"2018-01-01",1,"MRL","LOH",5,0,2
"2018-01-01",1,"MYR","LOH",6,0,2
"2018-01-01",1,"KIL","LPV",1,-10,3
"2018-01-01",1,"MÄK","LPV",5,0,2
"2018-01-01",1,"VTR","LPÄ",0,-8,1
"2018-01-01",1,"TAP","LR",0,-13,1
"2018-01-01",1,"LR","LRS",0,-13,1
"2018-01-01",1,"RAS","LÄ",0,-27,1
"2018-01-01",1,"TA","LÄ",0,-8,1
"2018-01-01",1,"KLH","MAS",9,0,2
"2018-01-01",1,"VKH","MAS",0,0,1
"2018-01-01",1,"LPÄ","MAT",0,-8,1
"2018-01-01",1,"LAK","MJJ",0,-56,1
"2018-01-01",1,"KA","MKA",0,-11,1
"2018-01-01",1,"LRS","MKO",0,-13,1
"2018-01-01",1,"PMK","ML",5,0,3
"2018-01-01",1,"TNA","ML",11,-3,5
"2018-01-01",1,"KAN","MLO",5,0,2
"2018-01-01",1,"MYR","MLO",5,0,2
"2018-01-01",1,"LAV","MRL",6,0,2
"2018-01-01",1,"LOH","MRL",7,0,2
"2018-01-01",1,"LOH","MYR",5,0,2
"2018-01-01",1,"MLO","MYR",5,0,2
"2018-01-01",1,"LPV","MÄK",1,-11,3
"2018-01-01",1,"PJM","MÄK",3,0,2
"2018-01-01",1,"SMÄ","NMÄ",0,-10,1
"2018-01-01",1,"POR","NRM",30,0,1
"2018-01-01",1,"UKÄ","NSL",0,-11,1
"2018-01-01",1,"KÄP","OLK",3,0,3
"2018-01-01",1,"PMK","OLK",8,-3,5
"2018-01-01",1,"MÄK","PJM",1,-13,3
"2018-01-01",1,"VMO","PJM",4,0,2
"2018-01-01",1,"TKL","PLA",11,-1,5
"2018-01-01",1,"TNA","PLA",7,0,4
"2018-01-01",1,"HY","PLP",0,0,1
"2018-01-01",1,"JK","PLP",1,0,1
"2018-01-01",1,"ML","PMK",10,-3,5
"2018-01-01",1,"OLK","PMK",4,0,3
"2018-01-01",1,"HPL","POH",4,0,2
"2018-01-01",1,"KAN","POH",3,0,2
"2018-01-01",1,"HKI","PSL",2,0,4
"2018-01-01",1,"ILA","PSL",2,-12,4
"2018-01-01",1,"KÄP","PSL",9,-1,4
"2018-01-01",1,"JK","PUR",0,-1,1
"2018-01-01",1,"SAU","PUR",3,0,1
"2018-01-01",1,"JTS","RAH",0,-16,1
"2018-01-01",1,"LÄ","RAS",0,-9,1
"2018-01-01",1,"TRÄ","RAS",0,-18,1
"2018-01-01",1,"ARP","RI",1,0,1
"2018-01-01",1,"RILA","RI",0,-17,1
"2018-01-01",1,"HNA","RKL",2,0,3
"2018-01-01",1,"KVY","RKL",2,0,2
"2018-01-01",1,"AVP","RSM",6,0,2
"2018-01-01",1,"KTÖ","RSM",16,0,3
"2018-01-01",1,"JP","SAU",2,0,1
"2018-01-01",1,"PUR","SAU",0,-1,1
"2018-01-01",1,"KE","SAV",1,0,3
"2018-01-01",1,"KRS","SAV",3,0,3
"2018-01-01",1,"V450","SJ",0,-25,2
"2018-01-01",1,"KRA","SMÄ",0,-9,1
"2018-01-01",1,"KRR","STÖ",0,-65,1
"2018-01-01",1,"ÄKI","SUO",9,0,1
"2018-01-01",1,"KJR","TA",0,-8,1
"2018-01-01",1,"LÄ","TA",0,-28,1
"2018-01-01",1,"TRÄ","TAP",0,-10,1
"2018-01-01",1,"HKH","TKL",9,-1,4
"2018-01-01",1,"PLA","TKL",9,0,4
"2018-01-01",1,"VIA","TL",0,-10,1
"2018-01-01",1,"ML","TNA",5,0,3
"2018-01-01",1,"PLA","TNA",11,-2,5
"2018-01-01",1,"HEK","TOL",8,0,2
"2018-01-01",1,"KKN","TOL",3,0,2
"2018-01-01",1,"HLT","TOM",0,-13,1
"2018-01-01",1,"V450","TPE",0,-25,1
"2018-01-01",1,"VKA","TPET",0,-14,2
"2018-01-01",1,"EPO","TRL",1,-6,3
"2018-01-01",1,"KVH","TRL",12,0,3
"2018-01-01",1,"RAS","TRÄ",0,-10,1
"2018-01-01",1,"LLA","TÖR",0,-2,1
"2018-01-01",1,"MKA","UKÄ",0,-11,1
"2018-01-01",1,"KTH","UTI",0,-32,1
"2018-01-01",1,"KTÖ","VEH",6,0,2
"2018-01-01",1,"VKS","VEH",6,0,2
"2018-01-01",1,"MAT","VIA",0,-9,1
"2018-01-01",1,"JRS","VKH",0,0,1
"2018-01-01",1,"MAS","VKH",8,0,2
"2018-01-01",1,"LAV","VKS",7,0,2
"2018-01-01",1,"VEH","VKS",6,0,2
"2018-01-01",1,"NSL","VLH",0,-12,1
"2018-01-01",1,"ÄS","VMA",0,-7,1
"2018-01-01",1,"HPL","VMO",4,0,2
